Timestamp,What is your name?,"How connected do you feel to PERSON1? (If this is you, please skip this question.)","How connected do you feel to PERSON2? (If this is you, please skip this question.)","How connected do you feel to PERSON3? (If this is you, please skip this question.)","How connected do you feel to PERSON4? (If this is you, please skip this question.)","How connected do you feel to PERSON5? (If this is you, please skip this question.)","How connected do you feel to PERSON6? (If this is you, please skip this question.)","How connected do you feel to PERSON7? (If this is you, please skip this question.)","How connected do you feel to PERSON8? (If this is you, please skip this question.)","How connected do you feel to PERSON9? (If this is you, please skip this question.)","How connected do you feel to PERSON10? (If this is you, please skip this question.)"
10/29/2020 17:51:45,PERSON3,5,7,,0,5,5,1,7,7,3
10/29/2020 17:52:33,PERSON8,8,8,4,3,6,5,3,4,5,4
10/30/2020 9:37:55,PERSON1,,2,6,7,6,4,4,10,10,1
10/30/2020 9:38:26,PERSON2,7,,7,7,4,4,9,2,2,2
10/30/2020 9:39:21,PERSON4,3,3,,5,4,3,3,6,6,6
10/30/2020 9:40:03,PERSON5,6,7,6,5,,1,1,2,1,0
10/30/2020 9:40:23,PERSON6,0,0,3,3,2,,8,8,9,7
10/30/2020 9:40:59,PERSON7,2,3,2,4,6,5,,10,8,9
10/30/2020 9:41:21,PERSON9,0,0,4,5,4,5,8,9,,10
10/30/2020 9:41:42,PERSON10,4,5,4,5,4,5,4,6,8,
